type,threadCount,insertCount,time,treshold
ConcurrentHashTable,48,30000000,0.491917,0
ConcurrentHashTable,48,31000000,0.511862,0
ConcurrentHashTable,48,32000000,0.524565,0
ConcurrentHashTable,48,33000000,0.542964,0
ConcurrentHashTable,48,34000000,0.578764,0
ConcurrentHashTable,48,35000000,0.578005,0
ConcurrentHashTable,48,36000000,0.592895,0
ConcurrentHashTable,48,37000000,0.61287,0
ConcurrentHashTable,48,38000000,0.636575,0
ConcurrentHashTable,48,39000000,0.653199,0
ConcurrentHashTable,48,40000000,0.667755,0
ConcurrentHashTable,48,41000000,0.680585,0
ConcurrentHashTable,48,42000000,0.694003,0
ConcurrentHashTable,48,43000000,0.709077,0
ConcurrentHashTable,48,44000000,0.734353,0
ConcurrentHashTable,48,45000000,0.746078,0
ConcurrentHashTable,48,46000000,0.765227,0
ConcurrentHashTable,48,47000000,0.780094,0
ConcurrentHashTable,48,48000000,0.797078,0
LockCoupling,48,1000000,0.159692,0
LockCoupling,48,2000000,0.29689,0
LockCoupling,48,3000000,0.441929,0
LockCoupling,48,4000000,0.579496,0
LockCoupling,48,5000000,0.723661,0
LockCoupling,48,6000000,0.85913,0
LockCoupling,48,7000000,1.00939,0
LockCoupling,48,8000000,1.14587,0
LockCoupling,48,9000000,1.28923,0
LockCoupling,48,10000000,1.42023,0
LockCoupling,48,11000000,1.58132,0
LockCoupling,48,12000000,1.69921,0
LockCoupling,48,13000000,1.85406,0
LockCoupling,48,14000000,1.98803,0
LockCoupling,48,15000000,2.13883,0
LockCoupling,48,16000000,2.2752,0
LockCoupling,48,17000000,2.42998,0
LockCoupling,48,18000000,2.5515,0
LockCoupling,48,19000000,2.70675,0
LockCoupling,48,20000000,2.83709,0
LockCoupling,48,21000000,2.99543,0
LockCoupling,48,22000000,3.11015,0
LockCoupling,48,23000000,3.23397,0
LockCoupling,48,24000000,3.73315,0
LockCoupling,48,25000000,4.50618,0
LockCoupling,48,26000000,3.67674,0
LockCoupling,48,27000000,3.80371,0
LockCoupling,48,28000000,3.95112,0
LockCoupling,48,29000000,4.09299,0
LockCoupling,48,30000000,4.24276,0
LockCoupling,48,31000000,4.39275,0
LockCoupling,48,32000000,4.52223,0
LockCoupling,48,33000000,4.65307,0
LockCoupling,48,34000000,4.80565,0
LockCoupling,48,35000000,4.93981,0
LockCoupling,48,36000000,5.08442,0
LockCoupling,48,37000000,5.21131,0
LockCoupling,48,38000000,5.35907,0
LockCoupling,48,39000000,5.49667,0
LockCoupling,48,40000000,5.65358,0
LockCoupling,48,41000000,5.79359,0
LockCoupling,48,42000000,5.93996,0
LockCoupling,48,43000000,6.17765,0
LockCoupling,48,44000000,6.2095,0
LockCoupling,48,45000000,6.35504,0
LockCoupling,48,46000000,6.61145,0
LockCoupling,48,47000000,6.84586,0
LockCoupling,48,48000000,6.93761,0
LockCounter,1,1000000,0.0211189,0
LockCounter,2,2000000,0.089818,0
LockCounter,3,3000000,0.138646,0
LockCounter,4,4000000,0.227724,0
LockCounter,5,5000000,0.314117,0
LockCounter,6,6000000,0.430973,0
LockCounter,7,7000000,0.568129,0
LockCounter,8,8000000,0.727333,0
LockCounter,9,9000000,0.854862,0
LockCounter,10,10000000,0.923766,0
LockCounter,11,11000000,1.00941,0
LockCounter,12,12000000,1.09807,0
LockCounter,13,13000000,1.18422,0
LockCounter,14,14000000,1.27194,0
LockCounter,15,15000000,1.3627,0
LockCounter,16,16000000,1.46345,0
LockCounter,17,17000000,1.54394,0
LockCounter,18,18000000,1.62997,0
LockCounter,19,19000000,1.72207,0
LockCounter,20,20000000,1.7984,0
LockCounter,21,21000000,1.87617,0
LockCounter,22,22000000,1.95443,0
LockCounter,23,23000000,2.03464,0
LockCounter,24,24000000,2.12194,0
LockCounter,25,25000000,2.21246,0
LockCounter,26,26000000,2.29326,0
LockCounter,27,27000000,2.39007,0
LockCounter,28,28000000,2.4813,0
LockCounter,29,29000000,2.56707,0
LockCounter,30,30000000,2.65549,0
LockCounter,31,31000000,2.74649,0
LockCounter,32,32000000,2.83143,0
LockCounter,33,33000000,2.92248,0
LockCounter,34,34000000,3.00977,0
LockCounter,35,35000000,3.09556,0
LockCounter,36,36000000,3.19072,0
LockCounter,37,37000000,3.27805,0
LockCounter,38,38000000,3.3643,0
LockCounter,39,39000000,3.4501,0
LockCounter,40,40000000,3.53446,0
LockCounter,41,41000000,3.62938,0
LockCounter,42,42000000,3.71531,0
LockCounter,43,43000000,3.80873,0
LockCounter,44,44000000,3.89521,0
LockCounter,45,45000000,3.98775,0
LockCounter,46,46000000,4.07367,0
LockCounter,47,47000000,4.1625,0
LockCounter,48,48000000,4.24574,0
ApproximateCounter,1,1000000,0.0229349,1024
ApproximateCounter,2,2000000,0.17715,1024
ApproximateCounter,3,3000000,0.193625,1024
ApproximateCounter,4,4000000,0.224302,1024
ApproximateCounter,5,5000000,0.292214,1024
ApproximateCounter,6,6000000,0.296695,1024
ApproximateCounter,7,7000000,0.329266,1024
ApproximateCounter,8,8000000,0.358032,1024
ApproximateCounter,9,9000000,0.361232,1024
ApproximateCounter,10,10000000,0.377327,1024
ApproximateCounter,11,11000000,0.364315,1024
ApproximateCounter,12,12000000,0.365392,1024
ApproximateCounter,13,13000000,0.420143,1024
ApproximateCounter,14,14000000,0.424802,1024
ApproximateCounter,15,15000000,0.419234,1024
ApproximateCounter,16,16000000,0.540425,1024
ApproximateCounter,17,17000000,0.457607,1024
ApproximateCounter,18,18000000,0.502834,1024
ApproximateCounter,19,19000000,0.480919,1024
ApproximateCounter,20,20000000,0.523074,1024
ApproximateCounter,21,21000000,0.539388,1024
ApproximateCounter,22,22000000,0.547796,1024
ApproximateCounter,23,23000000,0.561503,1024
ApproximateCounter,24,24000000,0.586321,1024
ApproximateCounter,25,25000000,0.552265,1024
ApproximateCounter,26,26000000,0.610205,1024
ApproximateCounter,27,27000000,0.612532,1024
ApproximateCounter,28,28000000,0.586242,1024
ApproximateCounter,29,29000000,0.639148,1024
ApproximateCounter,30,30000000,0.601276,1024
ApproximateCounter,31,31000000,0.654759,1024
ApproximateCounter,32,32000000,0.653806,1024
ApproximateCounter,33,33000000,0.633932,1024
ApproximateCounter,34,34000000,0.678922,1024
ApproximateCounter,35,35000000,0.660425,1024
ApproximateCounter,36,36000000,0.659911,1024
ApproximateCounter,37,37000000,0.671648,1024
ApproximateCounter,38,38000000,0.645399,1024
ApproximateCounter,39,39000000,0.658308,1024
ApproximateCounter,40,40000000,0.65872,1024
ApproximateCounter,41,41000000,0.672924,1024
ApproximateCounter,42,42000000,0.656938,1024
ApproximateCounter,43,43000000,0.648558,1024
ApproximateCounter,44,44000000,0.678895,1024
ApproximateCounter,45,45000000,0.697634,1024
ApproximateCounter,46,46000000,0.682589,1024
ApproximateCounter,47,47000000,0.652486,1024
ApproximateCounter,48,48000000,0.677324,1024
